,nbr_retweet,period,botscore,cleaned_tweet,identity,retweet
0,4,2,0.49505756400804624,south china morning post coronavirus update  confirmed case  confirmed death wuhanacuterespiratorysyndrome coronavirus wuhanflu ncov ncov ncov,Human,4
1,1,2,0.6545596461071505,call permanent ban wildlife trade china endangered wildlife trust ewt welcomed recent decision chinese authority temporarily ban trade wild animal curb spread deadly coronavirus ,Bot,1
2,0,2,0.3742667881821624,china yearold boy coronavirus without symptom,Human,0
3,0,2,0.07089257330076087,crisis beneath coronavirus crisis chinahungercrisis,Human,0
4,5,2,0.300816711527256,suspected coronavirus case china  bno,Human,5
5,0,2,0.14812070832967303,coronavirus china death rise  who declares emergency virus update ,Human,0
6,0,2,0.10328573467123618,two china expert report theepochtimes first case coronavirus detected december  whats thefor december,Human,0
7,2,2,0.15881746424200632, airline canceled flight china amid coronavirus fear  here full list ,Human,2
8,9,2,0.06565556198004287,daily update wuhan coronavirus china released national ncov report january  newly reported infection  newly reported death  total infection china only  total death  number infected surpassed sarstotal  compowtkton,Human,9
9,30,2,0.04447883217419818,china s national health commission say total death coronavirus  breakingnews comogllnnceh,Human,30
10,3,2,0.0825396626774012,china health commission say coronavirus death toll hit  total confirmed case ,Human,3
11,0,2,0.05202936550695904,how feel leaving wuhan elmcm spoke ben kavanagh got flight china coronavirus ,Human,0
12,8,2,0.9144161859602663,biggest mistake ever done life didnt ask ordered phone case without knowing shipped wuhan china dont want corona house its late coronavirus coronaviruswho coronavirusmemes compbykelj,Bot,8
13,2,2,0.33655519548719853,sia silkair scoot cut capacity china demand hit coronavirus,Human,2
14,1,2,0.06565556198004287,nothing directorgeneral say make sense anymore unless imagine sitting front blue background bearing word state council information office peoples republic china and yes really say china saved world coronavirus ,Human,1
15,0,2,0.19466773728450495,dammit im international setup watching repeat coronavirus update china,Human,0
16,0,2,0.08899515596679244,im sure similar situation wu esp west coast china coming daily wno screening ever take  u potus ban travel china u waiting people die,Human,0
17,2,2,0.15881746424200632,air france announced thursday suspend scheduled flight mainland china feb  latest reaction response deadly coronavirus outbreak china ,Human,2
18,1,2,0.18207903130928815,social medium company government science communicator share simple clear straightforward message outbreak ncov wuhan ncov coronavirus china ,Human,1
19,0,2,0.15881746424200632,feel helpless protecting son kind hate feel rising coronavirus panic wish would see many coinciding timing many message racism targeting chinachinese ppl ,Human,0
20,0,2,0.08899515596679244,horribly sad china coronavirus deadly day hubei record high  patient die china total rise  ,Human,0
21,0,2,0.13802618960216584,please verify new report virus started lab wutan china live animal market ncov coronavirus cdcgov nih cdcdirector secazar sentomcotton,Human,0
22,0,2,0.08899515596679244,time day ago kowtow china inaction coronavirusoutbreak coronavirus ,Human,0
23,2,2,0.15881746424200632,coronavirus ground flight china  continent airline europe asia north america cancelling flight china novel coronavirus infected least thousand people china dozen beyond border ,Human,2
24,9,2,0.05202936550695904, dangerous pathogen china trying contain cartoon fabulous print today nzh premium online here nzpol coronavirus china,Human,9
25,0,2,0.13802618960216584,breaking china report confirmed coronavirus case jumped ,Human,0
26,0,2,0.11116719108518804,shuttle driver gave passenger stern directive all many people come china airport wash hand lot time place dirty much viruses coronavirus yvr combyiiycp,Human,0
27,0,2,0.037980136466376074,read know avoid virus post food china safe virus cannot journey coronavirus  people finland possibly exposed coronavirus yle uutiset ,Human,0
28,0,2,0.05624491210051878,bbc news coronavirus declared global health emergency he also said reason limit international trade travel china coronavirus  ,Human,0
29,0,2,0.06565556198004287,china reported  new case today alone gonna get lot worse get better coronavirus,Human,0
30,0,2,0.08899515596679244,would quarantine people flying wuhanlockdown china bear shit wood coronavirus aint joke,Human,0
31,0,2,0.19466773728450495,kaylatausche jared kushner went china  drop package said open  coronavirus comuxrobrmv,Human,0
32,4,2,0.08899515596679244,duterte isnt taking novel coronavirus seriously would wise immediately ban foreign visitor china regardless nationality excuse delay friendship may kill people pandemic know friend ,Human,4
33,0,2,0.9538100696537478,persontoperson transmission seen least country outside china  japan vietnam germany taiwan coronavirus taiwan part china,Bot,0
34,0,2,0.09590276214117437, infected china  dead latest report case confirmed  country vigilant hysterical coronavirus wuhanconoravirus ,Human,0
35,1,2,0.15881746424200632,italian prime minister giuseppe conte say first two coronavirus case confirmed country air traffic blocked italy china ,Human,1
36,605,2,0.3551862170861128,duterte news re  confirmed case coronavirus ph who declared global emergency outbreak continues globally hubei only  china province it k total so flight province ok pucha useless ,Human,605
37,0,2,0.05202936550695904,apparently economical industrial powerhouse globe come eating living habit choice reflect education virus caused outside force its something inflicted upon themeselves thru poor choice coronavirus china,Human,0
38,0,2,0.413569897933165,coronavirus wuhan seafood market virus confirmed  country china wuhan coronavirus chinavirus wuhancoronavirus coronoavirus coronaoutbreak chinacoronavirus ,Human,0
39,0,2,0.06565556198004287, coronavirus case china bloomberg,Human,0
40,1,2,0.041106740219567735,heres new flag china china coronavirus   ncov  comcqybotvwzk,Human,1
41,17,2,0.04447883217419818,world health organization declares international emergency deadly novel coronavirus china comlgwihmrzu,Human,17
42,14,2,0.19466773728450495,urgent coronavirus china s nhc report  new case coronavirus top  already reported earlier today,Human,14
43,1,2,0.13802618960216584,china s un amb zhang jun coronavirus what need international solidarity cooperation chinamissionun  cbsnews unitednations comlvnqzjkpvj,Human,1
44,0,2,0.393746460000491,china confirmed coronavirus case increased ,Human,0
45,2,2,0.5565870373496533,china coronavirus global health emergency declared world health organisation reversing earlier decision outbreak coronavirus who globalpandemic emergency coronavirusoutbreak ncov ,Bot,2
46,2,2,0.15881746424200632,stunning new report china aware humanhuman transmission since middec coronavirus ncov ncov ,Human,2
47,1,2,0.15881746424200632,airline drop flight china coronavirus spread british airway halted flight china american airline suspended los angeles flight shanghai beijing effort contain new virus intensifies ,Human,1
48,0,2,0.2079055732880228,know weve lost moral compass bbcquestiontime audience think acceptable abandon british citizen china take jamescleverly point duty bring home wtf coronavirus bbcquestiontime,Human,0
49,0,2,0.6729387518017023,president duterte agreed impose temporary travel ban people traveling wuhan city entire hubei province china amid novel coronavirus outbreak according sen bong go,Bot,0
50,0,2,0.15881746424200632,know flight coming chengdu chicago town lockdown w  confirmed coronavirus case flight still allowed come chicago china flyohare flymidway nbcchicago foxnews ap cernovich joerogan abcchicago cdcgov ,Human,0
51,0,2,0.3742667881821624,persontoperson transmission seen least country outside china  japan vietnam germany taiwan usa coronavirus taiwan part china,Human,0
52,2,2,0.3551862170861128,coronavirus unknown unknown cant price market bethellohtm thinkmarketscom impact coronavirus tickertv ausbiz china trade comtqlymmnml,Human,2
53,1,2,0.25152334764543,breakingnews new coronavirus declared global emergency worldhealthorganisation outbreak continues spread outside china comajkdhzvsc,Human,1
54,0,2,0.13802618960216584,infected man logan airport allowed avoid quarantine today  diplomat ca quarantined  day recommended please dont permit only hour secazar virus come lab wutan ncov coronavirus endflightsfromchina,Human,0
55,3,2,0.5156433305312286,early transmission dynamic ncov   epidemiologic analysis first  case ncov coronavirus wuhan china estimate epidemic doubling time basic reproductive number sustaining humantohuman transmission comtyuhdhp,Bot,3
56,0,2,0.5967761711282766,everything need know new coronavirus china,Bot,0
57,0,2,0.25152334764543,hey disneycruise id really like hear youre prohibiting people china sailing light coronavirus epidemic next month disneycruiseline dcl,Human,0
58,0,2,0.300816711527256,even hk doctor strike thats going help them china try cure damn coronavirus ,Human,0
59,0,2,0.7081126267613624,persontoperson transmission seen least country outside china  japan vietnam germany taiwan coronavirus taiwan part china comjyzymrkn,Bot,0
60,3,2,0.04447883217419818,u president donaldtrump creates coronavirus task force lead administration response deadly virus killed  people infected seven thousand others china,Human,3
61,0,2,0.032398754737074244,conspiracy theory time coronavirus unleashed china distract hongkongprotesters stay woke people,Human,0
62,13,2,0.037980136466376074,newsalert china virus death toll hit  nationwide news agency afp quoting official chinavirus chinaoutbreak coronavirus,Human,13
63,0,2,0.10328573467123618,coronavirus death toll rise  outbreak spread region  china wuhan coronavirus,Human,0
64,1,2,0.11116719108518804,update  a latest figure coronavirus wuhan china who  confirmed case  suspected  dead  recovered generally number increasing  per day comysvzlngl,Human,1
65,0,2,0.07089257330076087,italy pm confirms suspending china flight coronavirus case confirmed kwamammkhize,Human,0
66,0,2,0.14812070832967303,latest geneva un agency who declares global emergency coronavirus china number case spiked tenfold week ,Human,0
67,0,2,0.07089257330076087,coronavirus outbreak declared global emergency virus spread one person another first time u though u president trump said working closely china regarding coronavirus outbreak think well control,Human,0
68,1,2,0.393746460000491,world health organization who jan  declared corona virus global health emergency disease spread  country outside china  confirmed case coronavirus,Human,1
69,0,2,0.05202936550695904,tesla say china ordered shanghai factory shut coronavirus fear ,Human,0
70,0,2,0.49505756400804624,hot press hkstp boost ai robotics rd google shuts china offices,Human,0
71,2,2,0.027614042942260764,soon tell economic impact virus china imf chief,Human,2
72,0,2,0.393746460000491,who who persontoperson transmission seen least country outside china  japan vietnam germany taiwan coronavirus taiwan part china,Human,0
73,0,2,0.037980136466376074,government around world declare travel ban china include hong kong macau coronavirus hongkong macau ,Human,0
74,0,2,0.5967761711282766,coronavirus death leap china country struggle evacuate citizen,Bot,0
75,0,2,0.2079055732880228,coronavirus crisis tremendous negative impact chinas economy consequently rapid tsunami hitting crushing new economy exhausted global recession u euro,Human,0
76,7,2,0.07089257330076087,way late philippine government made sure fact confirmed case coronavirus country administration antipoor prochina antifilipino ,Human,7
77,0,2,0.06565556198004287,auspol coronavirus many people die morrison stop plane coming china,Human,0
78,2,2,0.0825396626774012,coronavirus death toll china rise  afp,Human,2
